NOME_CURSO,IES,UF,pergunta,categoria,enunciado,media,n,rank
Pedagogia (Licenciatura) (13410),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.471264367816092,87,4
Arquitetura e Urbanismo (1129147),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.469387755102042,49,11
Ciências Biológicas (Licenciatura) (1152882),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.46875,32,12
Química (Licenciatura) (1152881),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.46875,32,12
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.466666666666666,45,5
Letras-Português (Licenciatura) (1160083),UFCG,PB,43,Curso em geral,"Foram oferecidas oportunidades para os estudantes participarem de programas, projetos ou atividades de extensão universitária.",5.465116279069767,43,6
História (Licenciatura) (13405),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.458333333333334,72,9
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.458333333333333,48,5
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.457142857142857,35,8
Ciências Biológicas (Licenciatura) (99802),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.454545454545455,33,6
Letras-Português (Licenciatura) (1160083),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.454545454545454,44,2
Letras-Português (Licenciatura) (1160083),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.454545454545454,44,6
Geografia (Licenciatura) (120777),UFCG,PB,31,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua consciência ética para o exercício profissional.,5.451612903225806,62,9
Pedagogia (Licenciatura) (13452),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.449999999999999,20,6
Arquitetura e Urbanismo (1129147),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.448979591836735,49,10
Pedagogia (Licenciatura) (13410),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.448275862068965,87,3
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.446808510638299,47,13
Engenharia de Alimentos (112294),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.444444444444444,45,14
Geografia (Licenciatura) (120777),UFCG,PB,57,"Professores, carga e avaliação",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.442622950819672,61,6
Química (Licenciatura) (99808),UFCG,PB,30,Ensino,O curso propiciou experiências de aprendizagem inovadoras.,5.44,25,1
Química (Licenciatura) (99808),UFCG,PB,35,Aprendizagem além do técnico,O curso contribuiu para você ampliar sua capacidade de comunicação nas formas oral e escrita.,5.4399999999999995,25,9
Engenharia Mecânica (13442),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.4375,32,5
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.434782608695651,46,6
Ciências Biológicas (Licenciatura) (99804),UFCG,PB,34,Aprendizagem além do técnico,"O curso promoveu o desenvolvimento da sua capacidade de pensar criticamente, analisar e refletir sobre soluções para problemas da sociedade.",5.433962264150943,53,11
Pedagogia (Licenciatura) (13410),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.432432432432432,74,7
Letras-Português (Licenciatura) (1160083),UFCG,PB,30,Ensino,O curso propiciou experiências de aprendizagem inovadoras.,5.431818181818182,44,2
Letras-Português (Licenciatura) (1160083),UFCG,PB,50,Outros,O estágio supervisionado proporcionou experiências diversificadas para a sua formação.,5.431818181818182,44,6
Ciência Da Computação (Bacharelado) (13446),UFCG,PB,41,Curso em geral,A coordenação do curso esteve disponível para orientação acadêmica dos estudantes.,5.430769230769231,65,3
Arquitetura e Urbanismo (1129147),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.428571428571429,49,15
Engenharia Florestal (13456),UFCG,PB,27,Aprendizagem além do técnico,"As disciplinas cursadas contribuíram para sua formação integral, como cidadão e profissional.",5.428571428571429,21,7
Engenharia Florestal (13456),UFCG,PB,57,"Professores, carga e avaliação",Os professores demonstraram domínio dos conteúdos abordados nas disciplinas.,5.428571428571429,21,7
Arquitetura e Urbanismo (1129147),UFCG,PB,51,Outros,As atividades realizadas durante seu trabalho de conclusão de curso contribuíram para qualificar sua formação profissional,5.428571428571428,35,8
Engenharia Florestal (13456),UFCG,PB,28,Aprendizagem além do técnico,Os conteúdos abordados nas disciplinas do curso favoreceram sua atuação em estágios ou em atividades de iniciação profissional.,5.428571428571428,21,3
Geografia (Licenciatura) (120777),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.426229508196721,61,7
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,36,Aprendizagem além do técnico,O curso contribuiu para o desenvolvimento da sua capacidade de aprender e atualizar-se permanentemente.,5.425531914893617,47,4
Ciências Sociais (Licenciatura) (1106595),UFCG,PB,29,Aprendizagem além do técnico,As metodologias de ensino utilizadas no curso desafiaram você a aprofundar conhecimentos e desenvolver competências reflexivas e críticas.,5.425531914893616,47,3
Química (Licenciatura) (1152881),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.424242424242425,33,13
Engenharia Civil (13439),UFCG,PB,42,Curso em geral,O curso exigiu de você organização e dedicação frequente aos estudos.,5.420454545454546,88,16
Geografia (Licenciatura) (120777),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.419354838709678,62,14
Letras-Português (Licenciatura) (1158116),UFCG,PB,66,Aprendizagem além do técnico,"As atividades acadêmicas desenvolvidas dentro e fora da sala de aula possibilitaram reflexão, convivência e respeito à diversidade.",5.419354838709677,31,8
Engenharia de Alimentos (112294),UFCG,PB,32,Aprendizagem além do técnico,No curso você teve oportunidade de aprender a trabalhar em equipe.,5.4186046511627906,43,7
Engenharia Ambiental (112282),UFCG,PB,33,Aprendizagem além do técnico,O curso possibilitou aumentar sua capacidade de reflexão e argumentação.,5.416666666666667,48,15
